,Autosomal_dominant,Clinvar,Drug_bank,GWAS_nearest,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_all_SNPs_10kb,Genes_withSNPs_r01_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_r05_10kb,Haploinsufficient,MGI_essential,MissenseZ_Samocha,OMIM_diseasegenes,Olfactory,TF,Universe,eQTL_deficient,highPLI_Exac,highPhi,highShet_Cassa,high_EDS
0,1.7106912850390554,1.177372947460924,1.7474910394265233,1.1555674563172043,0.8214427214344289,0.7937321937321937,0.7890578457511744,0.788990663303686,0.8683185289075893,0.9439184008274042,0.8717642373556352,0.9190784429108936,2.800856718244602,1.95585330059549,1.7817555696113572,1.226543395973604,0.0,3.025596119588779,1.0,0.9019308590588507,1.8308381472202853,1.916068192939994,1.6192967160709097,1.468150239954302
1,0.9548044381613333,1.0838433207934675,0.9985663082437276,1.0873060875896057,0.8214427214344289,0.7937321937321937,0.7890578457511744,0.7150227886189654,0.841183574879227,0.7203587795788085,0.8717642373556352,0.6955188216622978,1.2177637905411312,1.1892374340304235,1.3510014758591609,1.2132114025391085,0.0,1.3274354516772904,1.0,0.7730835934790149,1.4550766060877378,1.6212884709492257,1.368026535990941,1.0871036127905902
2,1.634052658307524,1.1078356603409647,0.7502692998204666,1.0746044658886895,0.7200527984566606,0.692556276757354,0.8177322068887921,0.8151073874592725,0.8155101085005074,0.7465366167367828,0.846864818139504,0.8460748323016872,1.463940097210667,1.289833048247784,1.1965079029816594,1.041762445678619,1.2504488330341113,1.533484556918479,1.0,1.355325186772456,1.2494476730396886,1.587285603556215,1.2026684023217176,1.347284937949211
3,0.9999641075338287,1.1007648971285335,0.6693093093093093,1.1422050957207206,1.0581625327126611,0.9267359667359668,1.2310184844244791,1.2890401512623735,1.1731100665883276,1.0738918022500112,1.0889556222889556,1.2237371700058266,1.346780927268732,1.3438887706604241,1.023649531884826,1.0053043697903512,0.0,1.43079894265523,1.0,1.1011217669282185,0.8841956448041316,0.6668395332601975,0.9263041233218308,1.1042476820254599
4,1.1935055477016665,0.8527701254973983,1.33142174432497,0.9507833501344086,1.1551538270171657,1.152191894127378,1.142773431777563,1.1341740784990486,1.1668030232195732,1.0432782324934466,1.188769414575866,1.0929581483264679,0.6088818952705656,0.9042135862049502,0.9202473821069647,0.919907546980203,1.2482078853046594,0.7055737986392805,1.0,1.0307781246386865,0.7435281558580198,0.4790170482349985,1.0050807203198748,1.019860090349935
5,0.6763198103642777,0.8582718682425426,1.4146356033452807,0.9605349742383512,1.2578341671964692,1.3826302729528537,1.169982323010362,1.1588300367272888,1.1668030232195732,1.3165177695750636,1.188769414575866,1.2668378537420424,0.24355275810822624,0.6388465554708888,0.7048703352308665,1.1065554550631427,2.496415770609319,0.4903139956645848,1.0,1.1596253902185223,0.7515230822650953,0.6632543744792286,0.8747924787969282,0.885373045468625
6,0.5978241432832405,0.8543011311087041,1.1670855774985038,0.9573748877917415,0.9514983408177299,0.9234083690098053,0.9540209080369242,0.9386085067712836,1.0329794707673094,1.070035817322722,0.9791874459738014,0.9456130478665917,0.6099750405044446,0.5809171744016738,0.7453655789066076,0.8147116562358429,2.5008976660682225,0.40733183543147095,1.0,1.1617073029478193,0.8089372754936446,0.701358755059723,0.8670400109761219,0.6624150944916953
7,0.556969255594111,0.8472683827522537,0.2496415770609319,0.88252198140681,1.309174337286121,1.3314217443249703,1.169982323010362,1.2821098278684897,1.1668030232195732,1.1923179799925105,1.1623523164741802,1.167478022076,0.4871055162164525,0.5700476956509468,0.6852906036966757,0.8399155863732288,0.0,0.4783551177215461,1.0,0.9019308590588507,0.631599186158963,0.5527119787326906,0.6514412076147337,0.7957150155477516
8,0.7970988577109874,1.0141381169290424,1.000359066427289,0.8157224809245961,1.105795369058443,1.2312111586797405,1.0357941287258035,1.1609105215329034,0.9242447896339084,1.1446894789964004,0.9527229204069418,1.0949203712139481,0.6099750405044446,0.7581461428632014,0.8238251135283557,0.8948472289803521,1.2504488330341113,0.4193121835323966,1.0,1.1617073029478193,0.7128259160290531,0.8120996111217845,0.801778934881145,0.7746888393207962
9,0.8783857376250394,1.1043066373347603,0.66810551558753,0.9737768379046763,0.7986351278874073,0.770890979524073,0.9011232430948974,0.7175948130384581,0.8442094150766344,0.7478793084935036,0.8483879563016254,0.7478793084935036,0.6110721179154237,0.769373477595876,0.7663563267033432,0.9365965171787803,1.2526978417266188,0.1800284323439452,1.0,0.452587607333488,0.9307474756783846,0.998460272372508,0.681803857938812,0.8548151377887591
