,Autosomal_dominant,Clinvar,Drug_bank,GWAS_nearest,Haploinsufficient,MGI_essential,MissenseZ_Samocha,OMIM_diseasegenes,Olfactory,TF,Universe,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,eQTL_deficient,highPLI_Exac,highPhi,highShet_Cassa,high_EDS,indSNPs_r01_100kb,indSNPs_r01_10kb,indSNPs_r03_100kb,indSNPs_r03_10kb,indSNPs_r05_100kb,indSNPs_r05_10kb
0,0.13048587007877696,0.03861362791049792,0.15372573988841903,0.03436301514767101,0.3191038364407988,0.07006729133524485,0.09158235934763193,0.06762314189034867,0.0,0.11178017855248122,0.0,0.03496794145635392,0.11091439220680094,0.054218335373635025,0.09512899543909416,0.0628075043774173,0.06479895797861304,0.11158226770869227,0.1066960853402667,0.10897428175309104,0.10642702198388931,0.1087726248509941,0.10438940596987711
1,0.12667863836729373,0.03931671501528751,0.1569221525863281,0.035366887346953174,0.24988389044210285,0.06850880562944722,0.09832070406215378,0.06908084289793925,0.0,0.09413072297219358,0.0,0.03574236913034752,0.15839776112807824,0.059151767031392896,0.13362339553419633,0.06421634878759241,0.061776031798430636,0.09510060973184993,0.09755321349284368,0.09442967011314998,0.09330341491824873,0.09580041616505335,0.09085283884549318
2,0.13754717183561435,0.0393329958111309,0.16305557771843848,0.03517092252923692,0.3028138497321242,0.06519025538920038,0.0881030141472031,0.06934112536051301,0.0,0.09273638053248974,0.0,0.0360485447682892,0.13976995224586566,0.05822304379419087,0.12976427732954895,0.06024881339935497,0.06127813773685339,0.08633443657128675,0.07740669330142658,0.08110473250793367,0.07891709237035703,0.0780828069461984,0.07796388181480451
3,0.11926797811562849,0.039166012428495836,0.1476432748884598,0.03513457793719744,0.2347275058903385,0.06323702256593641,0.08213069718810523,0.06681334742379827,0.3025920898780606,0.08274409146770072,0.0,0.03545137874909019,0.1467988994488514,0.05751874565574067,0.14987213223057494,0.06001639653134563,0.06185914484874794,0.08287610955796802,0.07720759674064907,0.08323358742576205,0.08098852562706516,0.08533633068704444,0.08307790978892274
4,0.11048377535570948,0.03885710211865912,0.14154180809162947,0.03497331434567661,0.21923854587067193,0.06325861811152099,0.0816237162094687,0.06367029857535697,0.5251396274449798,0.08136615635784171,0.0,0.03524776202018019,0.15647639590856968,0.05421056367905276,0.13388333042457148,0.057483487972153524,0.05937578035901259,0.09750049281104914,0.09510677033546502,0.09311804615167507,0.09669767105380361,0.09547050205445422,0.09631280910708709
5,0.12463471261607442,0.03907429882268998,0.1683356288794416,0.03592757303680613,0.18230047269741845,0.061793640296290864,0.0895314823799873,0.06685401209274026,0.5241041925018582,0.0824827949660622,0.0,0.03524353810473824,0.16904901442565923,0.05674104556272334,0.16653225873605051,0.05604483011432343,0.06307651290179977,0.0892668239129777,0.0817182842615163,0.08665303019505075,0.08537340570275802,0.08940152837409027,0.08210121732488271
6,0.12785088879380743,0.03924760864893815,0.1867490495179786,0.03527963546393386,0.2016717194919378,0.06400577617903533,0.08772325524545276,0.06889320614743934,0.6057799204808704,0.07697740825468752,0.0,0.03570982892887163,0.16719600835190548,0.05703136573447695,0.16570266820519255,0.05642657843915898,0.06527981040849626,0.08877149308807235,0.08498748597885675,0.08676423078505976,0.08652582435642402,0.08724944436609354,0.08374739620290066
7,0.13380111937499006,0.03826229085289034,0.19876044038372212,0.035631823684222894,0.284350014904959,0.06677814192517414,0.08126286249993425,0.06505851413257187,0.8561322168580157,0.07906974078221762,0.0,0.03452031021960688,0.1793490011871815,0.05378486844710622,0.15143362967545584,0.05604065257506213,0.06307420931910061,0.11549933052065839,0.10510894182780793,0.109721720904063,0.10273356295475944,0.11207932428586255,0.10043728836526883
8,0.11926797811562849,0.03732910188831892,0.2071899907700322,0.03502141152180361,0.21015566993180165,0.05560507702568233,0.0784747205198327,0.062075222009270264,0.9053842331453874,0.06744670777724036,0.0,0.034354846671663324,0.20385578612767488,0.04600969658064492,0.08701314871693643,0.05325279174408624,0.06149656345635524,0.12026774725373085,0.11465807030418447,0.11562496572541792,0.11568733832725654,0.11778140881468976,0.1146430682691065
9,0.13354312722303643,0.03865355261092458,0.2029045571503956,0.03498891757079038,0.21029338013579493,0.06081638837334888,0.0895314823799873,0.0661291999953182,0.676169433823106,0.06367471056012,0.0,0.034449092139517225,0.17509601624813567,0.053081066093698594,0.13759541605576983,0.05635875031485723,0.06201649306930463,0.11484489703471394,0.10758402462821241,0.11031532745936919,0.10925236554509281,0.11228147324012952,0.10855664553372915
