,Autosomal_dominant,Clinvar,Drug_bank,GWAS_nearest,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_all_SNPs_10kb,Genes_withSNPs_r01_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_r05_10kb,Haploinsufficient,MGI_essential,MissenseZ_Samocha,OMIM_diseasegenes,Olfactory,TF,Universe,eQTL_deficient,highPLI_Exac,highPhi,highShet_Cassa,high_EDS
0,0.14868650874176073,0.03949729726484968,0.17511363247814676,0.03373663024518718,0.06115603324295979,0.05956132362373134,0.06153945572085466,0.056160779706707735,0.061396805027380895,0.05773465142994657,0.05516579997053457,0.05341404008869081,0.31275755722792603,0.07444908438067341,0.10821626803861178,0.06885532649078466,0.0,0.07482148478413513,0.0,0.10537983392983569,0.06538365107014628,0.1607522626905372,0.07084635466079771,0.05648809318419727
1,0.12056752979557087,0.039682572600511695,0.1514736445324444,0.033839940819558025,0.052341938799162824,0.052321461727417314,0.048817176928100975,0.05348756070021871,0.04694382488574864,0.052710822506845084,0.0487748986713473,0.052710822506845084,0.3236353855690895,0.06678455248533992,0.10147132574130101,0.06790083221982038,0.0,0.07022945880230563,0.0,0.07479060658452923,0.06365153683027745,0.17372278153354995,0.06748810657267638,0.05504360879320249
2,0.12764387869394045,0.03907673532768971,0.14915539856645493,0.03357295465270329,0.05773174121320705,0.058116755562146356,0.058007801461720396,0.060303240837986445,0.05927954219688412,0.05719771305940689,0.057656373404834725,0.05719771305940689,0.3133275577949963,0.06626965949842117,0.09512433599936729,0.06550454868273543,0.0,0.08106177511828629,0.0,0.10771487918701926,0.059959504904640706,0.15272278256204028,0.06143904209386908,0.05837612389078262
3,0.10394518860928266,0.038413553957080154,0.10631359070074253,0.03364916547574456,0.0605420043191882,0.061385599948624366,0.06089941009166514,0.06341626821877457,0.062035784335295927,0.05804400364654095,0.062019064764004886,0.05867708846860182,0.3359789338880217,0.05993321738561744,0.08886018017796382,0.06343904348503804,0.0,0.08294002405412047,0.0,0.10150844923480333,0.05759421229339597,0.14338769089128486,0.06315312029915386,0.056883945750948794
4,0.10249860135834116,0.038719856660598635,0.1408991692182001,0.032878902238767126,0.05993904847336773,0.06138997212375711,0.06345026328379377,0.06255435364100194,0.06326088022248498,0.06201270891344406,0.06468326080684463,0.06400058628714858,0.25130132813118333,0.05943909347596507,0.07617042037499969,0.06670703430194097,0.0,0.07639532346540065,0.0,0.11173600387461113,0.05093538942715021,0.12347808643773667,0.057880014724887636,0.057586417134398986
5,0.10432288535018243,0.03867942723538082,0.14355827937908344,0.03351588550409218,0.06779199058238763,0.06582921564254537,0.06752679547981842,0.06418717023085253,0.06723904757969744,0.06847456067317693,0.06903384810094945,0.06770797393767898,0.30147327068607505,0.05754644037482793,0.07183216826312666,0.06447286423426453,0.0,0.07709936220916815,0.0,0.12322465823808106,0.04965359477638336,0.11050098499588241,0.05592613971165245,0.06156007625647728
6,0.12465150114333023,0.03937897306276632,0.17760959280742775,0.033860952858727686,0.0740164511066395,0.07245372373202716,0.07249393655806119,0.07418933367868129,0.07430785445745305,0.07546211013092624,0.07486829305354739,0.07434358578527864,0.3133275577949963,0.057282791316207456,0.06985743886595787,0.06537424772520552,0.0,0.07673530284762017,0.0,0.14361650198509163,0.0490403327086578,0.121391736398192,0.052467788463626486,0.063851475420132
7,0.11912202417106509,0.03759004030819574,0.1686041583920184,0.03359605116102033,0.07349208887127844,0.0726455318332938,0.07446647337437465,0.07802207018565306,0.07255293612269505,0.07629514188342926,0.0741155132215654,0.07585872852763575,0.2778225135285591,0.057850187149610106,0.07017184222749663,0.06332497449117375,0.0,0.07412623249144949,0.0,0.1553756597048499,0.046218958283754386,0.1143206594835063,0.05111484782644427,0.06448070159956322
8,0.11898020918452605,0.038151330560616065,0.1684010957741383,0.03388436161537531,0.08385120044336823,0.08470366572533278,0.08662433288575522,0.08377818355678174,0.08496473307573607,0.08689973966259504,0.0833474781561689,0.08619632884062631,0.27748525939386604,0.05414474506787809,0.06208666960308762,0.06565268307731367,0.029286229896134882,0.075079491638879,0.0,0.19236441411577862,0.04121381068598206,0.07400204988615244,0.04928809600683187,0.06465551820841427
9,0.09440856911897993,0.031913572354078115,0.24595530612975897,0.03139213471495775,0.12357935960913166,0.12066703694208014,0.12525362264158052,0.11784865255625611,0.12369206172938237,0.1184522308023829,0.12329503247983234,0.11966828182515545,0.11857394430640351,0.04247993426041774,0.06406589763670244,0.05403815881797365,0.48075546204996233,0.09422168589289273,0.0,0.24268268086726727,0.027389533143742425,0.05105735991759815,0.041314091926100825,0.04746250045954573
