,Autosomal_dominant,Clinvar,Drug_bank,GWAS_nearest,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_all_SNPs_10kb,Genes_withSNPs_r01_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_r05_10kb,Haploinsufficient,MGI_essential,MissenseZ_Samocha,OMIM_diseasegenes,Olfactory,TF,Universe,eQTL_deficient,highPLI_Exac,highPhi,highShet_Cassa,high_EDS
0,0.1495057477419841,0.04090131793120614,0.19598144339123247,0.033593383894567,0.036176904617871194,0.035966986548062935,0.03354783518273364,0.04125641300111272,0.03403979786695646,0.03818712344323888,0.037085280804951035,0.03738197303388432,0.46748757709053124,0.08203300577248641,0.12689875587293567,0.07302621344713484,0.0,0.07435566934418582,0.0,0.05676874276816659,0.0739628457983995,0.24123318263728102,0.0797830630469902,0.061674794138762
1,0.1420248246072964,0.039859221236328665,0.1672160028349784,0.032993677359288556,0.04440417007613287,0.04346418304276788,0.047290694470356893,0.05059589837991994,0.046064324989460025,0.04910609132193062,0.05132829466286691,0.047413488831292476,0.4069162781495939,0.07563669782453843,0.10184861211598417,0.0716362711806939,0.0,0.07559148856833546,0.0,0.06837332409707605,0.06693756992473883,0.16629886212739875,0.07083369225341835,0.05941562123735942
2,0.1240643858445905,0.03948678773516472,0.1957747760349515,0.03322372550527905,0.048873989329165625,0.048798640168271276,0.047753007829310315,0.05402359271406768,0.04777789655039952,0.053861440859998444,0.05378943755180169,0.05621925532942731,0.31638475935323135,0.06813067945088543,0.08739697765851179,0.07170617068330518,0.0,0.07357095388397561,0.0,0.06663851106102352,0.06196753352756773,0.14941485890884115,0.0646408030744514,0.059129092602516094
3,0.12551648617842423,0.03946986431202529,0.18016017693657532,0.033138242907786,0.05300903204862906,0.05274898580360515,0.05292998922548142,0.058066954820493594,0.052731284432518566,0.05446224743175212,0.05626460170195636,0.05364374561830549,0.2946969196358866,0.06596918236193403,0.08393644765782739,0.06996891698132818,0.07340248207992332,0.07543974272508203,0.0,0.08575078016755527,0.05697833205807021,0.11656176595654874,0.05904567865534513,0.061615412156596654
4,0.12879219460879643,0.03813281177588761,0.14044328709421575,0.03233767836800968,0.05497763111769806,0.05381381564074724,0.05591655652616384,0.06294447493054753,0.05537589351061303,0.061439972417213266,0.06051083266094169,0.059944642407639866,0.29407009443490073,0.059595931724109985,0.0689380722076591,0.0667022247305339,0.07324610027379598,0.07904481216364154,0.0,0.09609586664420097,0.050178519681354866,0.10273993162297372,0.053078344659800714,0.061178358733823275
5,0.10723331236452865,0.03760129617124624,0.17149166272962774,0.032450807194025426,0.060648231053727096,0.059221247651725206,0.06046895254597308,0.061823557651564914,0.06038844258432608,0.061303695291436124,0.06090067709003269,0.06032326147290242,0.27079453344978777,0.05440691162010861,0.06205733134648897,0.06371296694646983,0.07328513322359619,0.08076700091151444,0.0,0.10666540837538091,0.04461505096395539,0.08200360137029947,0.04964279889392615,0.05753363781026948
6,0.10302625039690998,0.035675542169457786,0.15596721713888956,0.03187135623590054,0.06359051736036318,0.0635526278485186,0.06357384302059396,0.06984944947957648,0.06333518007166634,0.07243686157015929,0.06988279180761837,0.07320462470098651,0.11599348124695764,0.047896651710247755,0.06288772636137271,0.05758038899202269,0.11742030872241349,0.08175393609023321,0.0,0.11739065432827056,0.040408452156836694,0.09612688556446078,0.04490107538996652,0.05764664614761753
7,0.08594571118085031,0.03462832120860068,0.14066689008278946,0.03141814345910527,0.0786956586859991,0.07754786416810117,0.07954902949600437,0.08173030449216667,0.07881321594079994,0.08128230695980883,0.08368706540956096,0.08267235884603268,0.21648193984910652,0.04470042678351389,0.05022484564722767,0.05594719180742538,0.20652046583286732,0.07517125171732099,0.0,0.14209227242250377,0.030160911165301535,0.06059675460419452,0.03796099612616314,0.054013419118370126
8,0.08910659676599728,0.03277449977198061,0.15800721683656285,0.031113139857244676,0.08775271047230855,0.08583291623731727,0.08740391681543937,0.08715677415290614,0.08771423905113934,0.08740425571960374,0.09000607538223106,0.08804728318574422,0.11574589665391197,0.04269180608743517,0.05528398321039944,0.052184850812424056,0.35043566314536273,0.07756838729190212,0.0,0.18225529519508896,0.027705915620446043,0.05571152290197994,0.03826289960895001,0.052275547124096954
9,0.08365476475938648,0.03257003280400859,0.12946612397020413,0.03065269500893118,0.08129908543556572,0.0811310401281114,0.0812061178335355,0.07818253089547564,0.08138966556011659,0.08062843760884847,0.08240094416159924,0.08049443210096088,0.08191029787167281,0.029694085122504408,0.03640454905930561,0.05076930373499804,0.25427151023614647,0.07301833917150367,0.0,0.2020929812575944,0.015967045093961456,0.04451385296263484,0.034868503367689214,0.045442444885761706
