ENTREZ,WEIGHT
4916,1.0
396,0.9957127515234265
816,0.9918228034144554
9146,0.9802847206456455
23369,0.9777442632153737
11335,0.9719032801074863
56,0.9678530585551053
5901,0.966413214661435
6426,0.965325442361507
10856,0.9645775639689183
10914,0.9639891584051559
10492,0.9637821686016406
1956,0.9633384490492327
6434,0.96241701936065
6637,0.9621018020990786
10606,0.9614546664809556
9444,0.9605985854275672
1548,0.9603797814860298
1548,0.9603797814860298
1434,0.9589126142241364
6597,0.9579184969645891
4053,0.9576968605976572
6310,0.9567074525978361
10155,0.9565011271657429
5682,0.9554997040415429
5682,0.9554997040415429
5706,0.9542159396562795
51366,0.9538791532522986
7203,0.9537140431521436
11222,0.9526498643834456
22948,0.9526455839294785
4176,0.9521650861933282
26135,0.9518379101956769
10987,0.9517774375369874
10574,0.9513632613665941
1762,0.9511020029273072
8520,0.9505148978524378
826,0.9500805026805517
11047,0.9493593920394425
5903,0.9487848411908213
253943,0.9481744029183663
10054,0.9479061288091579
23246,0.9472727698489052
5499,0.9470337430664979
6427,0.9442458500456514
513,0.9429540640516259
7398,0.9428357407997381
22941,0.9425291284763251
5691,0.942347648785677
10772,0.9416992339145331
7520,0.9415759740731442
6418,0.9413534767638545
8813,0.941060035196263
86,0.940814994416113
6059,0.9402997070714203
1387,0.9402002786824217
23770,0.9400700178140697
1977,0.9397781748633347
7913,0.9392833441058097
10576,0.93890940676793
5216,0.9385975767514347
10213,0.9383239370853924
25836,0.938267763820209
6599,0.93786416304385
908,0.9376409090950142
3609,0.9375861228881319
1822,0.9372204559180783
5425,0.9369695506339573
7334,0.9368051693513195
1665,0.9363571029913205
10554,0.9357126786373307
7341,0.9356310111438013
9972,0.9350998610706605
8662,0.93469393931168
5515,0.9343403244758506
7384,0.9331573839600815
3338,0.9330729605361405
3735,0.9323440324522951
4297,0.932119181361833
2931,0.9319833966171842
10236,0.9318911560008778
4728,0.9316948526689868
527,0.9313327643155156
55611,0.9309561865703304
7072,0.9308750513019797
9184,0.9306168938825303
11331,0.9304972565869531
1537,0.9303483863071786
50488,0.9302027176537859
1653,0.930033136617537
7514,0.9296888370148915
3015,0.9289036172167535
3320,0.9287884640226429
2130,0.9287013089264489
3336,0.928109723711855
821,0.9280597485429865
5714,0.9277552237944484
30008,0.9276556408567169
8467,0.9274819804795671
7267,0.9274472757202987
10728,0.9267997052653947
5411,0.9261318944030925
509,0.9258410499767709
7750,0.9254885683428666
5686,0.925282732017835
7283,0.9249780003978514
5861,0.9244958771099943
1175,0.9244309523738059
10190,0.9242309769337274
3066,0.9241424944384964
5694,0.9239448463961863
6632,0.9238884257632851
5048,0.9234942338333483
6634,0.9234185324935631
9202,0.922839489881814
1385,0.9226473189644877
7534,0.9225871020917888
471,0.9222527999961767
5685,0.9220064141362705
25804,0.9218294056735126
5518,0.9216137974451439
7532,0.9214724782226658
8886,0.9212900897482399
5434,0.9210546294860911
5970,0.9207109712220478
780,0.9206106713024678
9040,0.9204113681696788
203068,0.9201025082727603
5725,0.919928777503761
8079,0.9198741715308469
7791,0.9197059135464458
262,0.9196880121852984
10726,0.9188481488500317
1209,0.9188433949756063
