ENTREZ,WEIGHT
5076,0.9999999999999998
2302,0.9426295084028051
3815,0.9346295303317667
869,0.9258574227438898
2735,0.92120048116455
5133,0.916571566167554
2128,0.9134866345249606
23498,0.91178182791819
10290,0.9100165030960399
10202,0.9093155934637398
79570,0.9071699618594584
7200,0.9069244698753773
5864,0.9055165658626285
859,0.9050467625157439
7464,0.9046908147426773
3881,0.9039283147501702
23149,0.9030027946573158
22999,0.9026155346863101
11224,0.9023105011880603
22895,0.901850951644463
3146,0.9015803515973528
8447,0.9014491356078729
25789,0.9002742438963569
5409,0.8988420749481958
3227,0.898796834294848
3786,0.8987419092977791
1995,0.8984933268492987
9755,0.8984157015492102
5210,0.8982431475430368
2691,0.897884271415228
56894,0.897386804738884
7087,0.8961933199187302
1146,0.8960941185565658
4607,0.8960663000796987
2516,0.895539345481422
7764,0.8955162768870473
2299,0.8954066919622492
3780,0.8953793139143056
4608,0.8953385509453002
4656,0.8949698276354092
1339,0.8948534940170043
3891,0.8930627663938082
5345,0.8929953500004888
4985,0.8927592511157281
6572,0.892732411047322
6230,0.8925971698864243
3982,0.8925131818270577
5148,0.8924814321316683
5657,0.8921633517145935
10319,0.8921506963806787
114,0.891942599510515
9796,0.8915512299133361
197,0.8914483867823553
1603,0.8913995089406181
1958,0.8913136179676326
8834,0.8911706897126195
93,0.8911658609718218
2251,0.8908576788460718
5926,0.8906776311231039
3208,0.8903458271289779
6331,0.8899569199696205
478,0.8898383847354281
8609,0.8897699592947517
5016,0.8897542622280223
1463,0.8897426702653348
55515,0.8896276798198168
56904,0.889445889289991
1804,0.8893228019270174
9027,0.8893178856417581
4807,0.889215151920534
2324,0.8890837671506291
5332,0.8888935797852835
3933,0.8887345927721653
5563,0.888697560686275
5224,0.888659055589035
10285,0.8882954535635179
3697,0.8882741563578682
8912,0.8882306419468866
3483,0.8881822115171429
359,0.888164646193975
57152,0.8879379691736191
10438,0.8878587123960453
3754,0.8876461594986329
7068,0.8874188823631588
525,0.8872543445756369
9789,0.8871623006727571
7226,0.887014124913444
6094,0.8869749812046746
23369,0.8866930638956059
4634,0.8866464653911827
58,0.886642422939061
3594,0.8865331175286051
257,0.8864621297634756
117,0.886421894563818
152,0.8863892547372976
887,0.8861794135820471
26009,0.8861296726128811
2784,0.8860453123979446
7032,0.8858851642797685
4908,0.8858647404575417
2676,0.8856242215685128
7044,0.8856036549119004
10566,0.8854829584279784
