ENTREZ,WEIGHT
108,1.0
9444,0.9961407972865368
2260,0.9631185059758516
10914,0.9231185161075746
2776,0.915370603921706
816,0.9119171715517638
2767,0.9024246253239463
2261,0.8965835473574741
667,0.8942273523439452
2782,0.8881060149876077
1387,0.8848310901541663
2263,0.8780489301960099
23362,0.8747820433554716
23369,0.8735173759920716
8648,0.8719544788342903
5217,0.8702376932806326
6310,0.8689622484624611
10160,0.8686579542474595
9231,0.8680150812772658
23246,0.8640963265259574
3915,0.8620363467958523
4781,0.8609866907626991
22859,0.8602880995015585
22941,0.8601342666969558
253943,0.8587318642393313
10000,0.8578661402237202
3831,0.8565883396514589
3831,0.8565883396514589
4297,0.8564765016572458
23271,0.853877350820295
51366,0.8531708881595832
23174,0.8518553634108643
7750,0.8509959540258332
8204,0.8501767224631867
5048,0.8497827971139598
10579,0.8490837241711626
4862,0.8479189027238012
780,0.8475820131688794
11335,0.846629434333922
7532,0.8443426683918835
4325,0.8413835458399845
10054,0.8392927287209497
10439,0.8392410489359072
1605,0.8379624004818531
8502,0.8376084534138388
7534,0.8367874280809124
10979,0.8365592237828248
23543,0.8342760911440574
11011,0.8309610275399535
64854,0.8305350304884505
6196,0.8300587179188799
4131,0.8297212277386332
2186,0.8292290376414806
10606,0.8289496212601468
527,0.8284278195386927
5861,0.828121637123723
10856,0.8271420188438532
6418,0.8267573704772371
6929,0.8265207169617721
6637,0.8264396564170189
1948,0.8261732255371521
23241,0.8257898406742239
6651,0.8257323724067134
22982,0.8254162429767562
5901,0.8251898098383303
8867,0.8249691968831812
9792,0.8248246894328186
4628,0.8243744687132115
57509,0.8243725853865038
22839,0.8243343574920619
657,0.8237360736956483
53335,0.8236785198753329
1655,0.8235803787802531
6426,0.8230552415167021
6597,0.8228521723834386
5706,0.8220216672450724
4053,0.8218697977903904
6427,0.8209555035733216
10772,0.8205098650645972
6938,0.8201674540720691
7326,0.8199104661118142
55914,0.8198673035400879
9202,0.819529941311659
55740,0.8184005775313348
27161,0.8177259855385732
29,0.8175364536682239
2941,0.8160027983411926
55752,0.8154667929834962
10492,0.8152366802047983
334,0.8152041686127718
55611,0.8149456960635773
23142,0.8141068574518862
1452,0.8128099017968293
1452,0.8128099017968293
4150,0.8121121113585159
6595,0.8120688592631788
1977,0.8119188580067642
80232,0.8114972014064523
51444,0.8104163282638046
51322,0.8096166100917042
8813,0.8092970131970272
9403,0.8091287983652922
5903,0.808715732996077
5527,0.8085752969502327
23394,0.8080458553993539
23122,0.8079873270580911
4089,0.8077413668938331
6874,0.8065984088482072
5980,0.8061779912376033
52,0.8053946680448054
7323,0.8053267352613624
10458,0.8045688620919964
26065,0.8043314802455137
1000,0.8039254480585574
23429,0.8034408790853831
394,0.8025711433257829
10217,0.8025216769857622
9859,0.8018457193641382
7407,0.8014409813479575
3778,0.8014086271934391
109,0.8012005534835911
1627,0.8007863553026893
491,0.8002341203119925
23405,0.8001939698094054
23365,0.8001564902476817
11278,0.8000248703084996
80205,0.7998752658864918
7529,0.7992240955247945
23515,0.7989921801973832
25836,0.79856025862231
23348,0.7974905564707755
11345,0.7971799342688486
11030,0.7970891499602533
10987,0.7965738939144611
7341,0.7963246051816275
196528,0.7956461745851153
9201,0.7955247897740214
3320,0.7955045706138517
5573,0.794388262267111
22976,0.7939847115873524
2065,0.7939024288057519
30008,0.7938587372308714
51582,0.7934711307619708
26135,0.7934407133267238
1488,0.7933684737454854
8520,0.7927721088161279
1956,0.7920956031413295
10971,0.7920620228776081
9146,0.7916421466748229
23705,0.7914503148221488
9857,0.7912854876944537
10762,0.7912599181038387
6434,0.7912363675692768
55660,0.7908948881900266
9689,0.7906045843363612
2744,0.7903782200799216
10921,0.7901002261001209
5601,0.7894861725129343
324,0.7892646731493362
26057,0.7891576435050103
821,0.7889466655448738
7267,0.7886908710413314
5682,0.788274865422047
5682,0.788274865422047
