ENTREZ,WEIGHT
358,0.9999999999999999
8626,0.9763334118306816
7022,0.9181056131965138
6278,0.8795212794193822
10914,0.8242933738793538
817,0.8205059516369776
6495,0.8188908137802943
3183,0.8160815135732941
5537,0.8160634980943225
3608,0.8145012269156858
4677,0.8117257176321621
444,0.8095273494517511
2935,0.8089432182675501
55969,0.808435772629111
22822,0.8051738400534266
10606,0.8033381585456828
6934,0.8008608228599069
10425,0.8004228475569523
51155,0.7989963395974834
1153,0.7955383883157156
3181,0.7949728079873456
23603,0.7949660324056117
7402,0.7918030179976551
4053,0.7916195418497219
960,0.791603257898997
2339,0.7915968100893759
5701,0.7911479192773329
966,0.790471136025637
8683,0.7895436558443863
4869,0.7891742777186569
573,0.7891064393203312
6929,0.7886344346810689
6158,0.7883608891366815
9377,0.7882567978114247
4548,0.788056809710766
961,0.7879460246924054
1054,0.7878860834520961
10724,0.7874730970635498
10135,0.7874268270240853
7110,0.7872439450158545
6745,0.7870323401102407
6632,0.786979074326381
667,0.7865392193746868
5937,0.7862946413110482
10979,0.7860213753439645
27109,0.7859236488409677
1164,0.7857161239364198
64778,0.784849814976143
821,0.7847938495846486
3093,0.78443304313839
27230,0.783897424861893
4090,0.7833314527175278
11051,0.7831169786253448
7057,0.7830534989021524
11198,0.7829545643672783
1033,0.7826608355819274
5594,0.7825997799635162
28977,0.7815281833038236
2289,0.7809459727615832
5688,0.7808535835100247
51065,0.7807258164510008
891,0.780568484575967
23435,0.7801171653598763
11315,0.7799167458651354
9555,0.7796080128665573
79901,0.779176605373404
2744,0.7790425618750886
11335,0.7788826972075286
528,0.7788151024303392
10492,0.7787311208014082
1655,0.7786637207232506
4179,0.778584303648627
7328,0.7785024096727285
5695,0.7784719710486646
6627,0.7783634378023508
5911,0.7783195794015855
10413,0.7773591788358066
81873,0.7772280955555181
2013,0.7771607359667138
9939,0.7770739418024021
11065,0.7770628048194191
10921,0.776915154747499
23517,0.7768118324635481
1487,0.7766923473442259
3735,0.7765015944625463
4082,0.7764211294243478
3094,0.7763865211659667
115207,0.7762999731623371
129642,0.7762994688896468
4131,0.7758724384561472
7357,0.7756333653940294
9097,0.7756182012532583
7153,0.775591565691237
991,0.7754779852251815
10186,0.7754244672755323
55069,0.7753685839825487
1810,0.7753656597205355
22948,0.7753143034039675
3312,0.7752574559197046
7163,0.775233997476826
79109,0.7751710020072308
4820,0.7749585053525448
26135,0.7747525066462967
382,0.774636726034401
93487,0.7745271300346027
6634,0.7744933018816625
9928,0.7744054985861727
7169,0.7743575131125234
6016,0.774345406873946
1490,0.7742787234829752
7077,0.7742637194485548
1719,0.7742058602818626
51371,0.7739156948783547
800,0.7738073290953954
3148,0.773771881049036
7326,0.7736920877208754
332,0.7736176438550763
10163,0.7736097694880993
5520,0.7735306967021113
7994,0.7733303069138932
29028,0.7733189917690338
890,0.7732163230175845
51646,0.7731256539604253
1843,0.7730654287028779
5902,0.7729215661891301
3397,0.7728500744250012
1824,0.7727396048553551
2222,0.7724318145806556
5728,0.7723253725199642
871,0.7723135202911248
8662,0.7722502615482202
2260,0.7721883012909606
10370,0.7721465363184722
4134,0.7721367232135842
22998,0.7718639250085003
5684,0.7716326386864633
56888,0.7715084051967839
7027,0.7714999780853887
3192,0.7714965649773798
57509,0.7711157297632288
55608,0.7709951864689398
2665,0.770866152955778
1839,0.7708394806140278
3146,0.7707379985640092
8664,0.7705924477544955
11224,0.7702561669336131
22936,0.7700948653029686
94239,0.7699994634929289
6840,0.7698527560937584
3691,0.769705707581844
4507,0.7696303220292972
5245,0.7695873221032229
9043,0.7692791286380162
11222,0.769242209207538
51118,0.7692127017416942
7851,0.7691179638954005
2776,0.7690968351386388
6160,0.7690415526916029
3673,0.7689453276832509
9470,0.768928013947667
1207,0.7688889774855504
288,0.7688587310626719
1786,0.7687639091255064
6672,0.7686986742996474
965,0.768528845660602
8837,0.7685268236116564
8411,0.7685127251023919
2130,0.7684653206375197
5685,0.7684602992303419
9276,0.768287296305925
10970,0.7682154014634451
9991,0.7681015292431633
9352,0.7679972560996778
5873,0.7679181787064419
10051,0.7679056767060185
8030,0.7678826985564587
7323,0.7676930003933918
6637,0.767691498322122
8545,0.7676723799789055
6428,0.7675623076867207
5692,0.7675484914643057
533,0.7673868159399969
4781,0.7672829313975457
23705,0.7672265188690311
56829,0.7670634785384368
4190,0.7668372050480278
2531,0.7667895288330616
6595,0.7667268075058492
2355,0.7665798089593842
11052,0.7664026647699379
10574,0.766298303348372
9550,0.7662764087732313
3326,0.7660742533628352
11034,0.766015552473695
831,0.7660101438171117
10328,0.7658581639177285
10845,0.7657782292334915
51714,0.7657703006985986
604,0.7656359586442637
10491,0.7655276385041246
2941,0.7655098700875663
7555,0.7653244874587931
6281,0.7652711730302114
51719,0.7652071461440387
10236,0.7652028221871571
5567,0.7651487644302525
301,0.7650159781045153
23011,0.7650051620896986
9444,0.7649292376877749
51,0.7649130334990554
51602,0.7648489507145989
4942,0.764648211028378
81831,0.7646249630800078
4087,0.7646165229107421
7884,0.7645147435489185
10797,0.7644464826996079
8871,0.7644381279949842
2517,0.7643002626793726
56647,0.7642377570096429
1362,0.7641622817284807
4000,0.7641259884626536
64065,0.7639673953376739
6636,0.7637613591204754
2768,0.7637036998529384
10209,0.7635648892617178
3831,0.763564163845552
3831,0.763564163845552
6443,0.7635143782152526
334,0.763501477762142
25825,0.7635014715966492
51082,0.7634704421274366
23499,0.7631636102969536
1978,0.7631452087759473
1434,0.7631305796137043
1452,0.7630761636828004
1452,0.7630761636828004
11343,0.7630509923767727
4170,0.7629194076205427
55832,0.7627547639636619
8065,0.7627408031306852
3336,0.7627388805174514
6513,0.7627225638710734
7750,0.762703794755324
9101,0.7626956396517689
754,0.7624654973857475
4133,0.7622915557594153
10954,0.7619732336650294
3775,0.7619611247316441
8540,0.7619441499309979
79188,0.7619265152761691
84909,0.7618986839789478
221037,0.7617966448311971
80218,0.7617946115920468
7371,0.7617548620606888
307,0.761743066973399
51232,0.7617232904794443
10204,0.761598583756892
6574,0.7615702027098511
7919,0.761555773915206
3308,0.7614252372176152
10105,0.7613336663641564
55975,0.7611584334597176
51185,0.7609477102899448
60485,0.7609228021698226
5034,0.7608496682927891
3184,0.7608337522443832
7162,0.7607751301198652
7204,0.7606998585986843
9319,0.7606570574603845
55173,0.7606348127439438
5903,0.7605803591332639
7095,0.7604812083684332
10657,0.7603427756829658
120,0.7603034029863766
1111,0.7602994991068012
3459,0.760285361950053
10015,0.760203618772262
7534,0.7601455554605879
25804,0.7601379499095761
6885,0.760102658726911
23,0.7600798415187592
6727,0.7600380608531189
81631,0.7600326066995461
826,0.7600273184427623
23363,0.7600116269812155
6653,0.7600024739860475
1652,0.7598706068520565
5901,0.7598416301924925
4719,0.7598116151963888
7046,0.7597399343779304
9212,0.7597355928850017
950,0.7597318310767543
8539,0.7596686326331298
22818,0.7596250350652997
84661,0.7595207507175238
6434,0.7595040466850743
6249,0.7594641536816228
6230,0.759416057636784
5352,0.7593960924710613
3182,0.7593950153957029
79145,0.7593260607740903
1836,0.7591578431862726
1073,0.759085568431681
996,0.7590624729774659
4076,0.7590564006980826
4728,0.7590277631786918
7168,0.7589863253095809
7468,0.7589398841172613
9315,0.7587824185634694
26960,0.7587049335160495
3015,0.7586293419452771
7528,0.7586114025257006
6790,0.7585789243213382
9493,0.7585759241356408
2643,0.758554382029431
7520,0.7584729845274615
22906,0.758390039077739
377,0.7582935459999128
81853,0.7582865274695888
9168,0.7582120639071724
2317,0.7582049350400838
55578,0.758061811991746
1738,0.7579784243028161
2034,0.7579499012187888
1983,0.7579157087279512
83737,0.7579107123808427
201562,0.7578752253101805
6143,0.7577927585107912
81555,0.7577561771657616
6558,0.757660729459339
4792,0.7575873095409446
6135,0.7575782633294695
6201,0.7575514521497791
5359,0.7575074411740995
3842,0.7574579177663608
6925,0.7574448384949434
2767,0.7574140547800213
30001,0.7573604944255911
64400,0.757322765924496
95,0.7573131279713622
95,0.7573131279713622
7812,0.7573067439941609
51182,0.757288829083374
8826,0.7572715135685572
26020,0.7572695464125475
10772,0.7572543701886013
25874,0.7572371228646974
2950,0.7570194538960052
5690,0.7570069799501499
4026,0.7569905283956601
226,0.7569735644755627
1266,0.7569585494258758
64750,0.7569148552418018
65979,0.7568653565739333
55450,0.7567580469735039
51649,0.7567392618236238
23636,0.7566613134514913
2923,0.756615820758214
23065,0.7564254482927125
51322,0.7563347649892666
1316,0.756319540985435
8533,0.7561116276384502
4736,0.7560170611419305
10615,0.7559584521911512
990,0.7559495312922685
4288,0.7559043915979043
3939,0.7559035229602663
5550,0.7558567617472333
9556,0.7557525056006805
9517,0.7557382417195789
8428,0.7556804013636603
10808,0.7555966079928104
3836,0.7555655273327416
6648,0.7555349481224042
9474,0.7555255802347923
2058,0.7554505118027989
390,0.7554460084037683
80232,0.7553412576348709
780,0.7553202198201759
51465,0.7553005298643319
5641,0.7552709074837111
4363,0.7552414591014799
7431,0.7551942341664405
8833,0.7551608211698683
8992,0.7551310918505997
2246,0.7551039879583882
55754,0.755087240604657
2309,0.7550672157726565
9813,0.7550529362132153
182,0.7549980283398484
5686,0.7549659522651587
5747,0.7549288674184259
10095,0.7549258991726465
55215,0.754885001937141
55752,0.7548838090716564
6687,0.7548102509180418
5270,0.7547573666917683
2773,0.7547532792788699
3091,0.754743393254209
84191,0.7546760498664057
3301,0.7546553310766891
10212,0.7546337031322533
6717,0.7546232809561061
2958,0.7546086736556391
2014,0.754607001730018
1058,0.754594934610158
23246,0.7544986009517235
4071,0.7544821513238055
6950,0.75446709377341
8886,0.7544042819903213
56943,0.7543984504191238
3977,0.7543847046787148
116496,0.7543783726597818
2114,0.7543678686647902
471,0.7543636380490092
3329,0.7543007148291782
1471,0.7542837280482003
54812,0.7542577573311745
9793,0.7542219001937839
55660,0.7541679754799494
2353,0.7541564673093807
9645,0.7541546016128441
1965,0.754118412295086
1604,0.7541053471312588
54793,0.7540930938277933
3337,0.7540631777029235
54407,0.7540468286383583
7283,0.7539832863103951
51187,0.7539763251452157
23272,0.7539423573276006
9019,0.7539159916760089
10769,0.7538672465146968
2534,0.7537621109189044
22800,0.7536920592252606
6897,0.7536485924770143
5721,0.7536376857684531
51366,0.7536111265143336
7029,0.7536101089210329
10152,0.7535784468855474
3550,0.7535439104421869
22836,0.7535165751927687
23515,0.753498741435714
51474,0.75345317101996
10048,0.7534424347326231
55635,0.7533451393730785
29116,0.7533340407031851
8991,0.753322769156887
6426,0.7533033428691688
51512,0.7532970508143674
10972,0.7532939584267538
483,0.7532643372991975
3190,0.7531976452266861
26353,0.7531626469290832
6645,0.7531009083526282
6133,0.7530681049597628
2770,0.7530633991583525
23307,0.752989903944958
1105,0.7529744164164337
55055,0.7529582114072938
54800,0.7529450708281692
4670,0.7529230087937989
4176,0.7529099857076588
3313,0.7528622967714994
55207,0.7528154695145571
10762,0.7528052746683672
10730,0.752772396061019
8773,0.7527653095923449
3398,0.7527166496876033
90417,0.7526619456539044
84259,0.7525881703074443
9255,0.752560952712657
23649,0.7525357488644643
8872,0.752526682156286
10397,0.752511008469963
858,0.7524941773885684
3912,0.75242960924293
1982,0.7523516881475919
10198,0.7523463385526351
56945,0.7523139297402984
51534,0.752291353282382
10140,0.7522118531036902
9141,0.7521315556134313
6923,0.7520540524903315
25996,0.7518840185641714
10890,0.7518808907815159
9833,0.7518492743597088
23243,0.7518421657283246
51192,0.7518381311539132
10577,0.75180935384752
1948,0.7517095559436436
6793,0.751683284618918
4005,0.7516776230212617
2934,0.7516754178029138
5601,0.7516542519942319
567,0.7516237942661456
2495,0.7516089988534101
7298,0.7515818023663622
6647,0.7513975099660054
10575,0.7512462613690504
5562,0.7511940427800335
262,0.7511500916353061
51056,0.7511315748129775
1327,0.7510794278559462
2065,0.7510731340278968
476,0.7510382463637485
5832,0.7509939375829494
92689,0.7509926671452859
5984,0.7508009693761214
8565,0.7507842088707705
10294,0.7507646518376262
22929,0.7507495115821902
10066,0.750741566402327
10644,0.7507352681309848
25957,0.7507324870032343
54431,0.7506901776553182
1315,0.7506766219294329
4830,0.7506152538460277
1992,0.7505232225395059
29095,0.7504167966706289
51652,0.7503985942856374
51652,0.7503985942856374
4289,0.7503418868704844
6744,0.7503393315588803
113251,0.7503345811446634
4084,0.75033369016091
51274,0.7502823521749732
7112,0.7501140284534004
10923,0.7500978051096029
8648,0.7500789483790343
6652,0.7499740398482565
4946,0.7499462788151546
9045,0.749805837623004
122553,0.7498049863299189
51382,0.7497354229407317
5714,0.7497252314140431
2673,0.7496881933105989
9529,0.7496621579193165
23480,0.7496353985977998
80205,0.749632721303419
3959,0.7494700705667191
9631,0.7493654332885101
2887,0.749342899841103
6509,0.7493228573804601
7049,0.749254102441062
8562,0.749200864494706
5054,0.7491302307250199
22974,0.7490931346123787
55706,0.7490486514947233
7756,0.749043895926308
4089,0.7489342372856452
10971,0.7488827767382905
2618,0.7488671391805776
6728,0.7488535120310525
6728,0.7488535120310525
6421,0.7488431768685587
23406,0.7488325219483914
